gene_id	log2FoldChange	pvalue	padj	A	B	C	D	E	F	A.readCount	B.readCount	C.readCount	D.readCount	E.readCount	F.readCount	A.fpkm	B.fpkm	C.fpkm	D.fpkm	E.fpkm	F.fpkm
0610009B22Rik	0.329169832375617	0.367255723760689	0.754209018310256	207.33172387439	164.840118030474	178.338489687465	150.588267220127	302.697590128871	237.233161442255	256	153	173	117	355	240	18.9990621718554	12.8005591278873	13.8354766735299	11.0270801651126	25.8366084083796	18.644945685714
0610010F05Rik	-0.330543527949992	0.223140487720181	0.630580611518308	438.150244593925	332.912395238016	342.24496286843	305.037772061282	298.434243789028	282.702850718688	541	309	332	237	350	286	8.39515213317736	5.40549033982838	5.55169008125026	4.6704865207487	5.32616113351628	4.6457412853394
0610012G03Rik	0.674505611366629	0.0115753859629278	0.178212713054243	291.560236698361	351.227963908069	389.664445675502	574.037326326295	497.958852493692	575.290416497469	360	326	378	446	584	582	18.4525926067912	18.837263094013	20.8786549682145	29.0316836609171	29.3550409900535	31.2273808313362
0610037L13Rik	0.436250521977956	0.102472603816685	0.469646259894275	197.613049317778	171.30443638461	175.245914721787	243.25797012482	239.600064299191	254.037177044415	244	159	170	189	281	257	4.36001548137143	3.2028797961658	3.2734291923985	4.28886603137107	4.92401623461435	4.8071647960857
0610040J01Rik	0.0683030835390724	0.856712964280023	0.960411963111842	328.81515583204	363.079214223985	289.671188451894	208.50683153556	341.067707187461	478.420208908548	406	337	281	162	400	484	14.9756287414594	14.0131006993132	11.169177070249	7.58851011669028	14.4688486569569	18.6879677217418
1110002E22Rik	0.090094304113751	0.982384636147214	1	0.809889546384335	0	0	0	0	0.988471506009397	1	0	0	0	0	1	0.0076035988538746	0	0	0	0	0.00795933673576575
1110004F10Rik	0.47713488176308	0.0962085986984568	0.458002510590645	649.531416200237	451.42489839718	533.984610740502	890.658811250664	691.514776322576	695.883940230615	802	419	518	692	811	704	40.1632579184214	23.6545069139438	27.9537547360727	44.0091653248581	39.8281717573874	36.9049743047588
1110008L16Rik	0.15393353919895	0.695034691480867	0.909933391941865	80.9889546384335	114.20295758974	137.104156811751	163.459059290223	104.878319960144	101.812565118968	100	106	133	127	123	103	2.27967548278216	2.72410726482143	3.26723591391271	3.67670868513747	2.74974924337476	2.4579210870233
1110008P14Rik	0.361697636955866	0.274519349373237	0.680905545148267	255.92509665745	293.049098720843	353.584404409252	317.908564131379	330.835675971837	510.051297100849	316	272	343	247	388	516	8.68784834211108	8.43022882760471	10.161904128684	8.62391710347543	10.4609668374441	14.8502078536884
1110012L19Rik	-0.00823547633770894	0.983313571192613	0.996765730206505	54.2625996077505	94.8100025273314	93.8081072922504	78.5118316275875	86.9722653328025	75.1238344567141	67	88	91	61	102	76	4.53607493709753	6.71635124952247	6.6389994850347	5.24466465328932	6.77205600210986	5.38612827685115
1110032A03Rik	0.22643384915438	0.459303057593055	0.803582636279725	203.282276142468	215.477278471208	222.665397528858	299.889455233244	192.703254560915	258.979534574462	251	200	216	233	226	262	7.48117938242806	6.7200368273071	6.93754675000172	8.81931265925225	6.60571355263207	8.17438936639464
1110038F14Rik	0.765400071446024	0.0483181536903206	0.346671025020844	54.2625996077505	38.7859101248174	49.4811994508574	84.9472276626356	67.3608721695235	90.9393785528645	67	36	48	66	79	92	3.6038242419642	2.18291392364159	2.78218408355592	4.50832490000954	4.16707044326503	5.18005426373614
